"Species","col_2b","col_16S","Group","Color"
"Formamonas",0,9.03098e-05,"s11_11","16S only"
"Fretibacterium",0.001058198,0,"s11_11","2b only"
"Fusicatenibacter",0,0.004045877,"s11_11","16S only"
"Fusobacterium",0.011040187,0.03431771,"s11_11","shared"
"Fusobacterium_A",0,0.003540143,"s11_11","16S only"
"Gemella",0.010183342,0.008091755,"s11_11","shared"
"Glaesserella",0,5.41859e-05,"s11_11","16S only"
"GN02-872",0,3.61239e-05,"s11_11","16S only"
"Granulicatella",0.006439661,0.006231374,"s11_11","shared"
"Haemophilus",0.00307203,0.00157139,"s11_11","shared"
"Haemophilus_A",0.035147392,0.021674343,"s11_11","shared"
"Haemophilus_D",0.102652097,0.001770071,"s11_11","shared"
"Holdemanella",0,0.001625576,"s11_11","16S only"
"HOT-345",0.000173629,0.000361239,"s11_11","shared"
"Hungatella",0,0.000379301,"s11_11","16S only"
"Hungatella_A",0,7.22478e-05,"s11_11","16S only"
"Hydrogenophilus",1.40629e-05,0,"s11_11","2b only"
"Intestinimonas",0,0.000415425,"s11_11","16S only"
"JAAYOI01",0,0.000216743,"s11_11","16S only"
"JABCPE02",0.000853295,0,"s11_11","2b only"
"JABCPG02",5.73975e-05,0,"s11_11","2b only"
"Janibacter",1.17712e-05,0,"s11_11","2b only"
"Johnsonella",0.000371191,0.000397363,"s11_11","shared"
"Kingella",0.000116261,0,"s11_11","2b only"
"Kingella_A",0.001062877,0,"s11_11","2b only"
"Kingella_B",0.00071822,0.001192089,"s11_11","shared"
"Klebsiella",2.79175e-05,0,"s11_11","2b only"
"Kocuria",1.76047e-05,0,"s11_11","2b only"
"Lachnoanaerobaculum",0.000514413,0.001463018,"s11_11","shared"
"Lachnoclostridium_B",0,3.61239e-05,"s11_11","16S only"
"Lachnospira",0,0.01128872,"s11_11","16S only"
"Lacrimispora",0,0.004587736,"s11_11","16S only"
"Lactobacillus",0,0.026316265,"s11_11","16S only"
"Lactonifactor",0,7.22478e-05,"s11_11","16S only"
"Lancefieldella",0.000582802,0.000415425,"s11_11","shared"
"Lautropia",0.034169794,0,"s11_11","2b only"
"Lawsonella",0.00010417,0,"s11_11","2b only"
"Lawsonibacter",0,0.002438364,"s11_11","16S only"
"Leptotrichia",0.005959527,0.008832295,"s11_11","shared"
"Leptotrichia_A",0.001019045,0.001137903,"s11_11","shared"
"Ligilactobacillus",0,0.000469611,"s11_11","16S only"
"Limosilactobacillus",0,0.001282399,"s11_11","16S only"
"Marinobacter",0,7.22478e-05,"s11_11","16S only"
"Massilioclostridium",0,0.000505735,"s11_11","16S only"
"Mediterraneibacter",0,0.003341461,"s11_11","16S only"
"Megasphaera",0,0.000307053,"s11_11","16S only"
"Mesomycoplasma",0,0.000198681,"s11_11","16S only"
"Mesosutterella",0,0.000975345,"s11_11","16S only"
"Metamycoplasma",0,0.000903098,"s11_11","16S only"
"Methanobrevibacter_A",0,3.61239e-05,"s11_11","16S only"
"Methylobacterium",0,3.61239e-05,"s11_11","16S only"
"Micrococcus",5.64599e-05,0,"s11_11","2b only"
"Mogibacterium",0.004382172,0.000252867,"s11_11","shared"
"Monoglobus",0,0.000144496,"s11_11","16S only"
"Moraxella",0,0.004768355,"s11_11","16S only"
