sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
PauljenSenia_meyeri,0,0,4440,0,586390,5700,0,56200,0,0,0,1030,577324,8830,5300,75700,0,0,16000,807,379976,5660,5640,48800
PauljenSenia_odontolytica,41400,49400,20000,84900,26700,28500,27900,5070,22900,16700,28800,180203,39500,34000,71100,10400,0,3910,40000,203556,20900,63700,41600,13400
PauljenSenia_odontolytica_A,393811,178799,107946,36700,223004,204336,192465,14300,304151,174936,126080,17300,239447,283538,449377,19900,142317,23600,153034,18700,168655,374091,227255,22200
PauljenSenia_odontolytica_B,319793,426377,143021,45500,173998,179709,137819,24500,429437,172446,232900,25200,193522,274530,289745,48500,111098,58600,230529,23300,93900,305515,172023,71000
PauljenSenia_odontolytica_C,80100,116228,212031,21800,62100,204385,78600,13800,60300,44900,213697,10300,60100,259451,139353,17300,23300,8610,216980,7660,33600,310628,88000,24600
PauljenSenia_pyogeneS_A,87800,131682,91600,35600,0,117322,76300,5670,67300,61100,39700,30000,0,57700,139276,9280,0,0,27300,15900,0,38600,60400,4650
PauljenSenia_Sp000185285,49800,135755,110654,19500,32900,193366,26700,92700,55700,267254,174802,12200,78200,635070,49200,147156,56600,23200,297444,10500,29300,1406243,27700,194095
PauljenSenia_Sp000278725,699375,623272,529962,252933,863496,514564,1295129,294720,626232,256927,833273,101284,654216,228028,2039385,262430,110358,76500,1262796,86300,201615,167376,1105776,252319
PauljenSenia_Sp000308055,169243,340999,329236,19200,0,446473,345696,12000,129586,155058,178624,14700,0,232281,705377,19000,54500,15200,114844,9900,0,161024,274021,5910
PauljenSenia_Sp000411415,58600,81700,193899,17300,37700,54800,37000,35600,54800,39000,208537,9350,24600,67100,76500,86400,0,9120,428564,8170,28000,71400,45100,94900
PauljenSenia_Sp000466265,68200,90100,40500,49600,263560,172340,205927,16300,43600,59100,42700,29400,299990,108047,739469,22900,28800,9490,72700,35200,151188,99900,666074,39400
PauljenSenia_Sp000758755,0,76200,172405,15600,0,556326,315094,3980,21900,19900,151283,8500,34900,39800,721804,8230,0,0,74200,7380,0,47000,442244,3410
PauljenSenia_Sp001064145,103359,202370,68500,30500,45000,689306,43200,10800,62400,85200,64300,16000,61400,146234,128193,19600,40800,19900,118439,15500,32500,207431,84800,21100
PauljenSenia_Sp001072465,166032,179020,50500,52300,75200,338474,111262,15700,116444,100347,87600,23900,109338,474268,207384,22400,42400,19200,114758,24100,59100,525743,122666,32400
PauljenSenia_Sp001838165,165825,392347,204551,47700,122404,581482,130411,25400,184139,146474,145011,23100,168872,335864,326712,38500,65000,33700,171559,19500,74300,382723,200511,47500
