index,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__Aminivibrio,178,241,123,40,202,64,80,13,94,118,178,55,126,29,58,62,52,44,85,60,142,16,25,8
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;__,75,62,73,20,26,53,54,13,76,49,113,19,37,0,67,89,12,29,73,127,0,54,54,14
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia,15,34,0,18,15,11,10,0,0,130,16,26,31,19,0,34,22,76,0,13,15,18,0,20
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,39,25,44,15,33,57,45,0,18,33,19,27,53,26,26,47,0,34,56,42,7,67,40,22
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella,47,0,0,32,0,0,19,0,2,0,116,4,7,12,4,76,0,94,8,36,4,16,33,4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella,28,0,0,0,0,111,0,0,132,0,154,0,62,0,0,100,0,58,0,0,0,66,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Peptoanaerobacter,55,204,36,27,29,34,73,41,7,71,51,17,79,0,27,64,29,13,19,0,18,0,4,13
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__HOT-345,5,83,26,32,50,38,32,74,11,100,36,9,108,66,23,123,5,18,39,13,68,8,26,180
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium,248,75,85,48,38,65,265,36,186,104,106,55,99,376,183,63,227,17,55,73,98,49,52,26
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter,38,0,17,0,601,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9,15,24,533,57,640,130,196,24,1704,21,192,61,106,62,130,86,0,119,603,95,11,266,188,102
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Aminipila,79,104,34,21,47,40,50,11,52,25,21,17,54,5,37,22,0,0,13,35,0,0,2,13
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella,18,0,3,41,22,0,43,73,69,0,20,48,30,19,41,79,0,0,31,36,14,52,56,216
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,11,0,54,0,3,0,49,0,74,0,4,0,0,52,0,177,0,2,2,0,0,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-632,0,0,0,0,0,0,69,0,0,0,169,0,0,33,0,0,0,0,7,0,0,0,71,0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,16,0,0,0,0,44,0,0,124,0,80,0,0,0,0,63,0,177,0,0,0,65,0,0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_C,40,154,62,36,169,7,117,15,6,32,24,22,107,7,14,7,0,4,20,16,23,0,5,4
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter,87,0,18,27,7,192,26,14,114,2,107,10,72,34,15,101,0,77,49,38,0,251,64,22
