id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Catonella_morbi,817678,1197472,1167586,306825,150531,96800,565897,685668,74400,778574,692121,112722,0,288206,220042,459828,0,167204,449514,66200,156269,58400,156762,491781
Nanosynbacter_sp005697215,526784,1624052,0,0,0,26600,0,130365,69300,778676,0,0,0,405927,3960,134761,0,137061,0,0,0,0,0,56700
Neisseria_sp002237445,0,0,172655,0,0,0,0,795915,59200,0,472463,350597,0,0,0,476955,0,162652,0,302595,0,0,0,366078
Prevotella_oulorum,179555,0,3655929,0,0,139230,701777,367721,56400,84600,195024,51800,0,269354,484842,218852,0,0,662805,26200,0,38500,469138,246780
Streptococcus_sp000220065,0,0,0,0,0,6740,51100,335275,52700,0,428418,0,0,0,473385,551769,0,0,0,0,0,0,103638,345800
Capnocytophaga_leadbetteri,15300,2584848,1702556,1314216,290567,4444858,4884577,11839293,42500,3122584,1636365,2588422,110653,3525787,3267329,11507230,640860,1935640,1392802,2675944,216195,2403939,4214829,9078557
W11650_sp002999035,139199,6202320,241806,1973939,4987623,5080,198172,664270,27800,1983164,87400,569772,2963581,36400,36100,780732,0,408350,67800,178564,2320427,0,9180,516328
Johnsonella_ignava,373040,8306718,53400,0,129979,22300,0,157113,27700,900322,169823,0,0,377445,0,189593,0,500296,0,0,0,120115,0,130802
Saccharimonas_sp905371715,984737,84500,604347,0,0,883,418076,183163,21700,245952,0,0,0,47000,220149,84400,0,0,260264,0,0,0,21100,46000
Bergeyella_A_cardium,516234,0,0,0,706302,209010,1321037,2684294,19100,554107,0,88200,0,4767748,2552916,2104669,241281,1445863,0,513292,133810,2198479,1254513,1029929
Bulleidia_sp015256455,0,276243,1564816,104835,229458,5099822,1101241,414006,15800,477171,327614,130899,277909,415865,2189177,748261,0,198965,517693,221373,89800,685616,1802344,750182
Allisonella_pneumosintes,234661,0,6465254,1026867,1034474,116595,556968,888717,15700,0,4082229,281230,633062,22400,495550,726613,0,28600,5407849,102156,250619,14600,429582,490832
Haemophilus_influenzae,0,2445056,1462665,15590191,0,629680,559765,2979099,0,10129853,3003578,7620158,2577999,507665,909507,9864291,808433,63890672,22092746,17459471,25609498,1926333,3919778,23943810
Aggregatibacter_segnis,0,1194236,16023762,2172813,4156808,1451477,2650896,6208462,0,7649465,32924596,4821023,18838115,10241924,4094280,6992331,451149,2231913,20818549,7603298,18436954,9832536,5422793,6174595
Capnocytophaga_granulosa,0,5071665,281451,31400,0,946342,2583010,3757105,0,5721241,0,205908,0,1188274,2935928,2071009,0,2931984,0,491103,0,538276,2482098,2660384
Eubacterium_N_saphenum,0,13909676,0,24175941,15145539,152037,21621802,615078,0,4275098,0,7704777,22941527,200402,12642297,897413,0,1302430,0,3209332,15108594,286319,3549373,368687
Centipeda_noxia,2096688,3176381,0,69400,11900,29700,1606460,317598,0,3516372,0,0,0,123971,584102,76500,0,0,0,0,0,1940,209155,132580
F0058_sp905372605,554849,3083464,2479446,322739,159713,273711,4624329,5196822,0,3254153,312743,87500,0,184317,1317147,3060959,0,84900,1041920,25000,0,0,296199,1379168
Peptostreptococcus_stomatis,0,1131804,1743552,427462,0,138125,145455,2817683,0,2775857,576673,392593,0,106451,627146,4199585,0,199471,1118853,270462,275911,38000,276682,2110732
