sample_id,S9_11,S9_12,S9_14,S9_1,S9_2,S9_6,S9_7,S9_9,S11_11,S11_12,S11_14,S11_1,S11_2,S11_6,S11_7,S11_9,S13_11,S13_12,S13_14,S13_1,S13_2,S13_6,S13_7,S13_9,S17_11,S17_12,S17_14,S17_1,S17_2,S17_6,S17_7,S17_9
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810,0,0,0,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,5380,0,0,0,0,0,0,0,0,0,0
Kocuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6130,0,0,0,0,0,0,0,0,0,0,0,0,0
MicrococcuS,62400,0,0,0,0,0,0,0,56500,27200,0,0,0,7150,0,0,0,0,14600,0,0,6910,0,0,99900,0,0,0,0,3850,0,0
NeSterenkonia,0,0,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia,93595927,2293440,1869769,24170682,14612831,2195898,2389779,4441973,71243913,9554713,3480789,18029624,14440398,18937914,15318996,4501696,81908112,21320006,9120359,14430849,76027146,20086328,44933353,9804458,54828898,17309879,2134536,10438911,26499001,14718794,7099582,2028001
Rothia,8641296,2200226,927220,1182415,916655,7428578,968273,1482844,13370660,16440082,3787543,1123931,1727267,35925827,7182348,2088937,21816137,35140464,2026260,698531,5656108,22860160,10593113,2457841,19784503,26839894,5310482,796470,2590523,28859537,6284074,1051939
Rothia,24644018,28188734,4443749,8848608,6161401,17239219,13664272,2594298,28946495,52779289,4951064,14718255,5533971,49877142,17838378,4354312,11906364,22226214,6964044,7884352,3910486,19167153,31540763,2087721,9003994,27568833,1845869,13116973,7265137,17547833,9368869,3112304
Rothia,1873735,2915265,1795767,287165,382467,121744,9870805,115024,2137515,4321824,2539808,357813,403851,331091,17426401,149976,945869,1748735,7990551,245729,315989,263230,10705289,81000,708795,2169989,1742029,261530,555877,155098,5931369,1.00E+05
Rothia,37173169,39607299,3107920,9537089,10816680,527857,17434003,4379050,43774534,75389306,3263848,10885713,10448564,2386362,22139226,6893450,18091413,30946680,5045853,8238217,6139322,770000,41052330,3158280,12474457,39660993,1252679,7774393,12740962,828787,12059648,4732845
Rothia,29242311,14270855,2253971,6812531,4411684,3735625,8259502,1661804,34247991,27721238,2074085,9867761,3747598,11783547,10236970,2569056,14772780,10622911,3305790,5746202,2331856,4191181,17938927,1244992,10502371,13753851,1035680,8303022,5000996,4094816,5502844,1823433
Rothia,0,0,0,106185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,0,0,0,0
Rothia,85800,129658,44500,143750,0,67100,243420,0,179078,133575,67800,180828,0,192258,384336,0,64200,80800,189555,94100,0,71400,256138,3570,54700,69700,41400,147055,0,71300,127565,3870
Frankia,0,0,0,0,0,0,0,6750,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,14600,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,1900,0,0,0,0,0,11000,0,1680,0,0,0,0,0,24400,0,0,0,0,0,0,0,4210,0,0
Corynebacterium,0,0,0,129877,0,0,0,0,0,0,0,104384,0,0,0,0,0,0,0,25200,0,0,0,0,0,0,0,90900,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6920,0,0,0,0,0,0,0,11200,0,0
Corynebacterium,0,0,0,6630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,906302,111919,129086,235365,397422,529372,536026,186968,818820,94900,270687,470538,935619,4971256,477825,208804,2201960,36000,135586,249707,1270314,3059579,668945,326698,2190476,28100,223255,516066,1390564,12893881,631752,149424
Corynebacterium,0,0,0,0,0,0,0,0,28600,0,0,0,0,1550,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,1880,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,0,78500,0,22400,0,0,0,4500,0,13100,0,3310,0,37600,0,4660,0,23600,0,6320,0,73100,0,0,0,4250,0,8650,0,85600,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0
Corynebacterium,3576307,3394572,1720819,826105,881307,414337,9015184,1849552,7141915,2709170,6175713,906130,1461382,14851636,5177807,1544917,6114008,587456,3409910,437252,1419953,8994460,3180181,3207152,4850644,523376,4658182,425805,754124,3553470,1427224,1040178
Corynebacterium,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,2170,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,3640,0,0,0,0,0,0,0,13300,0,0,0,0,0,0,0,6900,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8530,0,0,0,0,0,0,0,4910,0,0
Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0
Dietzia,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,0,0,0,0,0,0,0,3410,0,0,0,0,0,0,0,1400,0,0
Gordonia,0,0,0,0,0,0,0,0,0,14700,0,0,0,8540,0,0,0,0,0,0,0,10200,0,0,0,0,0,0,0,11100,0,0
Gordonia,0,0,0,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0,41900,0,0,0,0,0,0,0,9180,0,0,0,0,0,0,0,2070,0,0,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0,11300,0,0,0,1340,0,0,0,0,0,0,0,3260,0,0,0,1270,0,0,0,3200,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,25500,0,0,0,0,0,0,0,104393,0,0,0,0,0,0,0,140155,0,0
Gordonia,0,0,0,11000,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,1350,1190,0,855,0,0,0,0,0,1080,0,0,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,0,0,0,0,0,0,1780,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0
Gordonia,0,0,0,0,0,0,0,0,0,467494,0,0,0,34400,0,0,0,62400,0,0,0,60300,0,0,0,33000,0,0,0,66400,0,0
Gordonia,0,0,0,39700,0,0,0,0,0,0,0,6490,0,0,0,0,0,0,0,3540,0,0,0,0,0,0,0,3640,0,0,0,0
LawSonella,53100,558337,25400,71600,342535,2050,10300,3630,104168,304750,87800,19400,37300,148436,0,7010,77000,111104,76000,32300,258155,774155,0,13700,65600,12500,41200,18500,188278,270617,4930,3880
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,1060,0,0
Mycobacterium,0,0,0,1520,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,3220,0,0,0,0,0,0,0,4280,0,0,0,0,0,1750,0,7830,0,0,0,646,0,4820,0,7380
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,3390,0,0,0,0,0,0,3970,0,0,0,0,0,0,0,57,0,0,0,0
