"Species","col_2b","col_WMS","Group"
"Prevotella_salivae",8.02e-05,8.38462e-05,"s11_1"
"Prevotella_scopos",5.2e-05,3.77655e-05,"s11_1"
"Prevotella_seregens",0.000128426,0.000141081,"s11_1"
"Prevotella_shahii",6.58e-05,7.5e-05,"s11_1"
"Prevotella_sp000163055",8.17e-05,8.65111e-05,"s11_1"
"Prevotella_sp000257925",0.000211687,0.000134737,"s11_1"
"Prevotella_sp000467895",0.000351988,0.000270347,"s11_1"
"Prevotella_sp003043925",7.43e-05,9.17107e-05,"s11_1"
"Prevotella_sp003043945",1.03e-05,2.16943e-05,"s11_1"
"Prevotella_sp013333285",5.89e-05,5.08856e-05,"s11_1"
"Prevotella_sp013333935",0.000121621,0.000117422,"s11_1"
"Prevotella_veroralis",0.000132075,0.000116411,"s11_1"
"Pseudoleptotrichia_goodfellowii",0.000134671,0.000150405,"s11_1"
"Pseudoramibacter_alactolyticus",3.34e-06,6.61561e-06,"s11_1"
"Ralstonia_sp000620465",1.01e-05,2.50921e-05,"s11_1"
"Rodentibacter_sp901420285",8.16e-05,9.71211e-05,"s11_1"
"Rothia_aeria",0.018029624,0.021658887,"s11_1"
"Rothia_dentocariosa",0.001123931,0.0012952,"s11_1"
"Rothia_mucilaginosa",0.014718255,0.01450492,"s11_1"
"Rothia_mucilaginosa_A",0.000357813,0.000450486,"s11_1"
"Rothia_mucilaginosa_B",0.010885713,0.009160562,"s11_1"
"Rothia_sp001808955",0.009867761,0.010369953,"s11_1"
"Rothia_sp902373285",0.000180828,0.000158475,"s11_1"
"Saccharimonas_sp013333625",0.000110097,8.56792e-05,"s11_1"
"Saccharimonas_sp013333645",3.35e-05,2.5794e-05,"s11_1"
"Saccharimonas_sp013333675",5.9e-05,6.42863e-05,"s11_1"
"Saccharimonas_sp013333795",0.000123295,0.000100719,"s11_1"
"Saccharimonas_sp013333845",0.000117348,0.000122399,"s11_1"
"SDRW01_sp007845485",0.000377133,0.000427027,"s11_1"
"SDRW01_sp013333595",8.49e-05,9.8342e-05,"s11_1"
"Selenomonas_sputigena",5.11e-05,7.53034e-05,"s11_1"
"Shuttleworthia_satelles",7.45e-05,5.47108e-05,"s11_1"
"Simonsiella_muelleri",0.000102733,9.88418e-05,"s11_1"
"Slackia_exigua",8.16e-06,7.60966e-06,"s11_1"
"Stenotrophomonas_maltophilia_P",9.15e-06,1.59566e-05,"s11_1"
"Streptococcus_anginosus",4.19e-05,0.000102363,"s11_1"
"Streptococcus_australis_A",0.000723564,0.000553804,"s11_1"
"Streptococcus_chosunense",0.002669612,0.003908623,"s11_1"
"Streptococcus_constellatus",0.000106362,0.00014301,"s11_1"
"Streptococcus_cristatus",0.00069583,0.001097759,"s11_1"
"Streptococcus_cristatus_B",0.000284582,0.000320356,"s11_1"
"Streptococcus_cristatus_C",0.000249364,0.000241949,"s11_1"
"Streptococcus_cristatus_G",0.000108439,0.000102732,"s11_1"
"Streptococcus_gordonii",0.000382001,0.000343404,"s11_1"
"Streptococcus_halitosis",0.00040779,0.001328624,"s11_1"
"Streptococcus_infantis",0.000276398,0.000277209,"s11_1"
"Streptococcus_infantis_C",8.36e-05,0.000144278,"s11_1"
"Streptococcus_infantis_F",0.000142026,0.000563965,"s11_1"
"Streptococcus_infantis_G",0.000143832,0.000201238,"s11_1"
"Streptococcus_infantis_H",0.000214572,0.000256474,"s11_1"
"Streptococcus_infantis_I",0.00192648,0.000961511,"s11_1"
"Streptococcus_intermedius",8.43e-05,0.000125812,"s11_1"
"Streptococcus_koreensis",0.000938187,0.000845406,"s11_1"
"Streptococcus_mitis",0.012305834,0.012785731,"s11_1"
"Streptococcus_mitis_A",0.000958429,0.001034271,"s11_1"
"Streptococcus_mitis_AC",0.007106976,0.01063778,"s11_1"
"Streptococcus_mitis_AD",0.001091753,0.00097264,"s11_1"
"Streptococcus_mitis_AK",0.002118642,0.001972027,"s11_1"
"Streptococcus_mitis_AP",0.000618171,0.001317771,"s11_1"
"Streptococcus_mitis_AQ",0.000893357,0.001435603,"s11_1"
"Streptococcus_mitis_AR",0.001555189,0.001584114,"s11_1"
"Streptococcus_mitis_AT",0.001744683,0.002188232,"s11_1"
"Streptococcus_mitis_AV",0.004424956,0.004585086,"s11_1"
"Streptococcus_mitis_AW",0.001346471,0.001560988,"s11_1"
"Streptococcus_mitis_AY",0.001347187,0.000872618,"s11_1"
"Streptococcus_mitis_AZ",0.003085362,0.002684616,"s11_1"
"Streptococcus_mitis_BA",0.003528863,0.002068541,"s11_1"
"Streptococcus_mitis_BB",0.009458846,0.009626146,"s11_1"
"Streptococcus_mitis_BE",0.00328171,0.002350444,"s11_1"
"Streptococcus_mitis_BG",0.00052779,0.000659785,"s11_1"
"Streptococcus_mitis_BK",0.000885149,0.000526811,"s11_1"
"Streptococcus_mitis_BL",0.001867304,0.002124845,"s11_1"
"Streptococcus_mitis_BM",0.006004866,0.003488091,"s11_1"
"Streptococcus_mitis_BN",0.000675433,0.000835372,"s11_1"
"Streptococcus_mitis_BP",0.000218912,0.000143448,"s11_1"
"Streptococcus_mitis_BQ",0.002682864,0.002849332,"s11_1"
"Streptococcus_mitis_D",0.001055866,0.000589045,"s11_1"
"Streptococcus_mitis_E",0.00033879,0.000784744,"s11_1"
"Streptococcus_mitis_F",0.003748366,0.002213194,"s11_1"
"Streptococcus_mitis_I",0.000267875,0.002028762,"s11_1"
"Streptococcus_mitis_K",0.00086544,0.000286896,"s11_1"
"Streptococcus_mitis_L",0.001016347,0.001041503,"s11_1"
"Streptococcus_mitis_M",0.007013048,0.002210256,"s11_1"
"Streptococcus_mitis_N",0.002033824,0.002932969,"s11_1"
"Streptococcus_mitis_O",0.005045061,0.004331964,"s11_1"
"Streptococcus_mitis_P",0.002364656,0.001913762,"s11_1"
"Streptococcus_mitis_Q",0.003133272,0.001952819,"s11_1"
"Streptococcus_mitis_W",0.001684876,0.000810058,"s11_1"
"Streptococcus_oralis",0.004651685,0.004345435,"s11_1"
"Streptococcus_oralis_B",0.000800747,0.000561758,"s11_1"
"Streptococcus_oralis_BA",0.001330886,0.000829912,"s11_1"
"Streptococcus_oralis_BC",0.002152941,0.001574213,"s11_1"
"Streptococcus_oralis_BD",0.00106445,0.00141821,"s11_1"
"Streptococcus_oralis_BE",0.000622292,0.000484933,"s11_1"
"Streptococcus_oralis_E",7.55e-05,0.000491271,"s11_1"
"Streptococcus_oralis_F",0.000957169,6.10318e-05,"s11_1"
"Streptococcus_oralis_G",0.001905538,0.000959607,"s11_1"
"Streptococcus_oralis_K",0.000459038,0.000407499,"s11_1"
"Streptococcus_oralis_O",0.000756474,0.001049725,"s11_1"
"Streptococcus_oralis_R",0.000338877,0.000249738,"s11_1"
"Streptococcus_oralis_S",0.000349794,0.000117245,"s11_1"
"Streptococcus_oralis_T",0.00113001,0.001704735,"s11_1"
"Streptococcus_oralis_Y",0.000672325,0.000574139,"s11_1"
"Streptococcus_oralis_Z",0.000531627,0.000561932,"s11_1"
"Streptococcus_parasanguinis_B",0.000320003,0.000158824,"s11_1"
"Streptococcus_pneumoniae",0.007626526,0.00578791,"s11_1"
"Streptococcus_pneumoniae_C",0.000181875,0.000995895,"s11_1"
"Streptococcus_pneumoniae_D",0.014969687,0.009680281,"s11_1"
"Streptococcus_pseudopneumoniae",0.001606027,0.002164414,"s11_1"
"Streptococcus_pseudopneumoniae_C",0.003543245,0.002394734,"s11_1"
"Streptococcus_pseudopneumoniae_D",0.00095618,0.000599755,"s11_1"
"Streptococcus_pseudopneumoniae_J",0.001896503,0.001047825,"s11_1"
"Streptococcus_pseudopneumoniae_L",0.000176992,0.000393609,"s11_1"
"Streptococcus_pseudopneumoniae_O",0.013670293,0.008589327,"s11_1"
"Streptococcus_pseudopneumoniae_P",0.000649799,0.000940567,"s11_1"
"Streptococcus_salivarius",0.000361477,0.000400998,"s11_1"
"Streptococcus_sanguinis",0.001539269,0.00178431,"s11_1"
"Streptococcus_sanguinis_A",8.11e-05,9.09249e-05,"s11_1"
"Streptococcus_sanguinis_F",0.000176104,0.000247518,"s11_1"
"Streptococcus_sanguinis_G",0.000384149,0.00038775,"s11_1"
"Streptococcus_sanguinis_H",0.001379512,0.001490936,"s11_1"
"Streptococcus_sanguinis_I",0.000111936,0.00013501,"s11_1"
"Streptococcus_sinensis",0.000104492,9.51039e-05,"s11_1"
"Streptococcus_sp000187745",0.005619882,0.005250912,"s11_1"
"Streptococcus_sp000235485",0.000104113,0.000226768,"s11_1"
"Streptococcus_sp000259505",0.000315434,0.000118493,"s11_1"
"Streptococcus_sp000831085",0.000997262,0.001134649,"s11_1"
